id;id_line;plant;shop;date_of_validation;validation_result;visual_inspection;oem_checklist;cable_certification_for_relevant_cabling;number_of_profinet_devices;number_of_devices;additional_checks_for_frame_errors;number_of_scp;max_traffic_load_on_the_network;max_traffic_load_on_the_network_percent;max_profinet_traffic_load_on_the_network;max_profinet_traffic_load_on_the_network_percent;plc_count;rings_count
21;21;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;;41;41;;1;14.196;7.098;14.19;7.095;1;0
24;24;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;17;17;;1;7.309;3.6545;7.29;3.645;1;0
25;25;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;135;135;;2;48.124;24.062;47.763;23.8815;2;1
27;27;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;67;67;;1;23.982;11.991;23.742;11.871;1;1
31;31;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;294;294;;2;75.219;37.6095;74.804;37.402;2;2
33;33;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;235;235;;5;74.065;37.0325;73.716;36.858;5;1
35;35;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;10;0;;1;4.375;2.1875;4.353;2.1765;1;0
47;44;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;46;46;;1;22.139;11.0695;22.064;11.032;1;0
48;45;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;16;16;;1;7.417;3.7085;7.361;3.6805;1;0
49;46;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;16;16;;1;7.402;3.701;7.341;3.6705;1;0
50;47;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;23;23;;1;10.358;5.179;10.334;5.167;1;0
51;48;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;16;16;;1;7.548;3.774;7.525;3.7625;1;0
52;49;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;18;18;;1;8.308;4.154;8.153;4.0765;1;0
53;50;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;21;21;;1;9.684;4.842;9.633;4.8165;1;1
54;51;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;18;18;;1;7.952;3.976;7.907;3.9535;1;1
55;52;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;21;21;;1;9.684;4.842;9.634;4.817;1;1
56;53;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;19;19;;1;9.015;4.5075;8.998;4.499;1;1
58;55;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;14;14;;1;6.874;3.437;6.837;3.4185;1;0
59;56;Q;ASSEMBLY;T006;PASS;Yes - Pass;Pass;Yes - Pass;7;7;;1;2.649;1.3245;2.61;1.305;1;0
60;57;Q;ASSEMBLY;T006;PASS;Yes - Pass;Pass;Yes - Pass;7;7;;1;2.665;1.3325;2.633;1.3165;1;0
61;58;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;8;8;;1;3.098;1.549;3.07;1.535;1;0
62;59;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;7;7;;1;2.441;1.2205;2.329;1.1645;1;0
63;60;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;7;7;;1;2.441;1.2205;2.329;1.1645;1;0
64;61;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;9;9;;1;3.691;1.8455;3.665;1.8325;1;0
65;62;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;9;9;;1;0;0;0;0;1;0
66;63;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;9;9;;1;0;0;0;0;1;0
67;64;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;9;9;;1;0;0;0;0;1;0
68;65;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;7;7;;1;2.671;1.3355;2.313;1.1565;1;0
69;66;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;10;10;;1;3.812;1.906;3.793;1.8965;1;0
70;67;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;8;8;;1;3.247;1.6235;3.205;1.6025;1;0
71;68;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;8;8;;1;4.017;2.0085;3.861;1.9305;1;0
72;69;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;7;7;;1;2.508;1.254;2.501;1.2505;1;0
73;70;Q;ASSEMBLY;T006;PASS;Yes - Fail;Pass;Yes - Pass;8;8;;1;3.091;1.5455;3.065;1.5325;1;0
74;71;P;BODY;T006;PASS;Yes - Fail;Pass;Yes - Pass;141;141;;2;69.507;34.7535;69.225;34.6125;2;1
75;72;P;BODY;T006;PASS;Yes - Fail;Pass;Yes - Pass;434;434;;4;54.313;27.1565;54.123;27.0615;4;3
76;73;P;BODY;T006;PASS;Yes - Fail;Pass;Yes - Fail;140;140;;2;45.122;22.561;44.97;22.485;2;1
77;74;P;BODY;T006;PASS;Yes - Fail;Pass;Yes - Pass;433;433;;4;54.309;27.1545;54.124;27.062;4;3
78;75;P;BODY;T006;PASS;Yes - Fail;Pass;Yes - Pass;446;446;;6;48.303;24.1515;47.736;23.868;6;4
79;76;P;BODY;T006;PASS;Yes - Fail;Pass;Yes - Pass;316;316;;4;61.351;30.6755;60.939;30.4695;4;2
81;78;P;BODY;T006;PASS;Yes - Fail;Pass;Yes - Pass;305;305;;4;44.974;22.487;44.672;22.336;4;2
82;79;P;BODY;T006;PASS;Yes - Fail;Pass;Yes - Pass;95;95;;1;44.296;22.148;44.046;22.023;1;1
83;80;P;BODY;T006;PASS;Yes - Fail;Pass;Yes - Pass;95;95;;1;44.207;22.1035;44.071;22.0355;1;1
85;82;P;BODY;T006;PASS;Yes - Fail;Pass;Yes - Pass;142;142;;2;39.848;19.924;39.563;19.7815;2;1
88;85;P;BODY;T006;PASS;Yes - Fail;Pass;Yes - Pass;48;48;;1;20.618;10.309;20.542;10.271;1;1
91;88;P;BODY;T006;PASS;Yes - Fail;Pass;Yes - Pass;69;69;;2;24.51;12.255;24.374;12.187;2;1
92;89;P;BODY;T006;PASS;Yes - Fail;Pass;Yes - Pass;131;131;;2;42.759;21.3795;42.307;21.1535;2;1
94;91;P;BODY;T006;PASS;Yes - Fail;Pass;;93;93;;2;16.472;8.236;16.426;8.213;2;1
95;92;P;BODY;T006;PASS;Yes - Fail;Pass;Yes - Pass;87;87;;1;22.346;11.173;22.159;11.0795;1;1
96;93;P;BODY;T006;PASS;Yes - Fail;Pass;Yes - Pass;88;88;;1;22.293;11.1465;22.159;11.0795;1;1
97;94;P;BODY;T006;PASS;Yes - Fail;Pass;Yes - Pass;86;86;;1;22.51;11.255;22.141;11.0705;1;1
98;95;P;BODY;T006;PASS;Yes - Fail;Pass;Yes - Pass;88;88;;1;22.293;11.1465;22.159;11.0795;1;1
99;96;P;BODY;T006;PASS;Yes - Fail;Pass;Yes - Pass;52;52;;1;19.248;9.624;19.156;9.578;1;1
100;97;P;BODY;T006;PASS;Yes - Fail;Pass;Yes - Pass;87;87;;2;18.846;9.423;18.796;9.398;2;1
102;99;P;BODY;T006;PASS;Yes - Fail;Pass;Yes - Pass;57;57;;1;9.199;4.5995;8.999;4.4995;1;1
103;100;P;BODY;T006;PASS;Yes - Fail;Pass;Yes - Pass;57;57;;1;9.13;4.565;8.999;4.4995;1;1
105;102;P;BODY;T006;PASS;Yes - Fail;Pass;Yes - Pass;157;157;;2;24.182;12.091;24.048;12.024;2;1
